DIRNAME  NELM  EDIFF  CHECK_1  CHECK_2  STEPS   TIME(HR)
00001    YES   YES    YES      YES      20      .402
00002    YES   YES    YES      YES      18      .158
00003    YES   YES    YES      YES      24      1.998
00004    YES   YES    YES      YES      18      .211
00005    YES   YES    YES      YES      19      .201
00006    YES   YES    YES      YES      24      .491
00007    YES   YES    YES      YES      24      .438
00008    YES   YES    YES      YES      23      .650
00009    YES   YES    YES      YES      23      .655
00010    YES   YES    YES      YES      22      .634
00011    YES   YES    YES      YES      22      4.742
00012    YES   YES    YES      YES      23      4.802
00013    YES   YES    YES      YES      22      4.592
00014    YES   YES    YES      YES      23      4.747
00015    YES   YES    YES      YES      22      .911
00016    YES   YES    YES      YES      23      .733
00017    YES   YES    YES      YES      23      .732
00018    YES   YES    YES      YES      22      .708
00019    YES   YES    YES      YES      23      .751
00020    YES   YES    YES      YES      23      5.666
00021    YES   YES    YES      YES      22      5.610
00022    YES   YES    YES      YES      23      5.626
00023    YES   YES    YES      YES      22      5.560
00024    YES   YES    YES      YES      24      3.177
00025    YES   YES    YES      YES      22      4.605
00026    YES   YES    YES      YES      23      4.799
00027    YES   YES    YES      YES      20      2.800
00028    YES   YES    YES      YES      22      .587
00029    YES   YES    YES      YES      24      .491
00030    YES   YES    YES      YES      24      .795
00031    YES   YES    YES      YES      23      .708
00032    YES   YES    YES      YES      22      .924
00033    YES   YES    YES      YES      22      .713
00034    YES   YES    YES      YES      23      1.925
00035    YES   YES    YES      YES      22      .742
00036    YES   YES    YES      YES      22      .746
00037    YES   YES    YES      YES      24      .680
00038    YES   YES    YES      YES      20      .587
00039    YES   YES    YES      YES      23      .655
00040    YES   YES    YES      YES      23      .731
00041    YES   YES    YES      YES      23      .733
00042    YES   YES    YES      YES      22      .710
00043    YES   YES    YES      YES      24      .761
00044    YES   YES    YES      YES      20      .543
00045    YES   YES    YES      YES      22      .729
00046    YES   YES    YES      YES      22      .901
00047    YES   YES    YES      YES      22      .746
00048    YES   YES    YES      YES      23      .602
00049    YES   YES    YES      YES      24      .761
00050    YES   YES    YES      YES      22      .705
00051    YES   YES    YES      YES      22      .684
00052    YES   YES    YES      YES      23      .731
00053    YES   YES    YES      YES      22      .631
00054    YES   YES    YES      YES      23      .766
00055    YES   YES    YES      YES      24      .801
00056    YES   YES    YES      YES      22      .580
00057    YES   YES    YES      YES      22      .632
00058    YES   YES    YES      YES      23      .657
00059    YES   YES    YES      YES      24      .988
00060    YES   YES    YES      YES      22      .706
00061    YES   YES    YES      YES      24      .760
00062    YES   YES    YES      YES      20      .662
00063    YES   YES    YES      YES      22      .725
00064    YES   YES    YES      YES      22      .708
00065    YES   YES    YES      YES      23      .603
00066    YES   YES    YES      YES      22      .747
00067    YES   YES    YES      YES      24      .760
00068    YES   YES    YES      YES      22      .681
00069    YES   YES    YES      YES      22      .893
00070    YES   YES    YES      YES      24      .754
00071    YES   YES    YES      YES      23      .601
00072    YES   YES    YES      YES      22      .629
00073    YES   YES    YES      YES      24      .756
00074    YES   YES    YES      YES      22      .633
00075    YES   YES    YES      YES      23      .776
00076    YES   YES    YES      YES      22      .635
00077    YES   YES    YES      YES      22      .740
00078    YES   YES    YES      YES      24      .790
00079    YES   YES    YES      YES      24      .761
00080    YES   YES    YES      YES      20      .661
00081    YES   YES    YES      YES      22      .710
00082    YES   YES    YES      YES      22      .709
00083    YES   YES    YES      YES      23      .750
00084    YES   YES    YES      YES      22      .578
00085    YES   YES    YES      YES      24      .990
00086    YES   YES    YES      YES      20      .541
00087    YES   YES    YES      YES      23      .703
00088    YES   YES    YES      YES      23      .765
00089    YES   YES    YES      YES      23      .649
00090    YES   YES    YES      YES      22      .710
00091    YES   YES    YES      YES      22      .636
00092    YES   YES    YES      YES      23      .732
00093    YES   YES    YES      YES      22      .398
00094    YES   YES    YES      YES      23      .731
00095    YES   YES    YES      YES      23      .930
00096    YES   YES    YES      YES      22      .748
00097    YES   YES    YES      YES      23      .767
00098    YES   YES    YES      YES      22      .706
00099    YES   YES    YES      YES      23      .765
00100    YES   YES    YES      YES      23      .766
00101    YES   YES    YES      YES      20      .439
00102    YES   YES    YES      YES      20      .433
00103    YES   YES    YES      YES      22      .709
00104    YES   YES    YES      YES      23      .597
00105    YES   YES    YES      YES      19      .407
00106    YES   YES    YES      YES      20      .418
00107    YES   YES    YES      YES      23      .750
00108    YES   YES    YES      YES      22      .635
00109    YES   YES    YES      YES      19      .331
00110    YES   YES    YES      YES      20      .372
00111    YES   YES    YES      YES      23      .703
00112    YES   YES    YES      YES      23      .655
00113    YES   YES    YES      YES      18      .385
00114    YES   YES    YES      YES      20      .443
00115    YES   YES    YES      YES      23      .769
00116    YES   YES    YES      YES      23      .760
00117    YES   YES    YES      YES      19      .407
00118    YES   YES    YES      YES      22      .450
00119    YES   YES    YES      YES      22      .708
00120    YES   YES    YES      YES      23      .601
00121    YES   YES    YES      YES      19      .359
00122    YES   YES    YES      YES      22      .453
00123    YES   YES    YES      YES      22      .583
00124    YES   YES    YES      YES      23      .774
00125    YES   YES    YES      YES      23      .727
00126    YES   YES    YES      YES      22      .630
00127    YES   YES    YES      YES      22      .742
00128    YES   YES    YES      YES      23      .768
00129    YES   YES    YES      YES      23      .762
00130    YES   YES    YES      YES      23      .731
00131    YES   YES    YES      YES      23      .927
00132    YES   YES    YES      YES      22      .709
00133    YES   YES    YES      YES      23      .655
00134    YES   YES    YES      YES      22      .919
00135    YES   YES    YES      YES      23      .774
00136    YES   YES    YES      YES      22      .727
00137    YES   YES    YES      YES      23      .732
00138    YES   YES    YES      YES      22      .708
00139    YES   YES    YES      YES      22      .635
00140    YES   YES    YES      YES      22      .710
00141    YES   YES    YES      YES      22      .680
00142    YES   YES    YES      YES      23      .602
00143    YES   YES    YES      YES      23      .768
00144    YES   YES    YES      YES      22      .709
00145    YES   YES    YES      YES      22      .744
00146    YES   YES    YES      YES      22      .580
00147    YES   YES    YES      YES      22      .631
00148    YES   YES    YES      YES      23      .712
00149    YES   YES    YES      YES      23      .730
00150    YES   YES    YES      YES      22      .748
00151    YES   YES    YES      YES      23      .765
00152    YES   YES    YES      YES      23      .655
00153    YES   YES    YES      YES      23      .735
00154    YES   YES    YES      YES      22      .741
00155    YES   YES    YES      YES      22      .731
00156    YES   YES    YES      YES      23      .734
00157    YES   YES    YES      YES      22      .726
00158    YES   YES    YES      YES      23      .736
00159    YES   YES    YES      YES      22      .748
00160    YES   YES    YES      YES      22      .713
00161    YES   YES    YES      YES      22      .632
00162    YES   YES    YES      YES      23      .600
00163    YES   YES    YES      YES      23      .705
00164    YES   YES    YES      YES      22      .894
00165    YES   YES    YES      YES      22      .704
00166    YES   YES    YES      YES      22      .926
00167    YES   YES    YES      YES      22      .581
00168    YES   YES    YES      YES      22      .710
00169    YES   YES    YES      YES      23      .651
00170    YES   YES    YES      YES      22      .744
00171    YES   YES    YES      YES      22      .731
00172    YES   YES    YES      YES      23      .711
00173    YES   YES    YES      YES      23      .732
00174    YES   YES    YES      YES      23      .655
00175    YES   YES    YES      YES      22      .748
00176    YES   YES    YES      YES      23      .767
00177    YES   YES    YES      YES      23      .733
00178    YES   YES    YES      YES      10      .131
00179    YES   YES    YES      YES      21      .721
00180    YES   YES    YES      YES      24      .492
00181    YES   YES    YES      YES      24      .681
00182    YES   YES    YES      YES      21      .557
00183    YES   YES    YES      YES      23      .745
00184    YES   YES    YES      YES      19      .403
00185    YES   YES    YES      YES      23      .773
00186    YES   YES    YES      YES      23      .731
00187    YES   YES    YES      YES      24      .624
00188    YES   YES    YES      YES      21      .717
00189    YES   YES    YES      YES      23      .703
00190    YES   YES    YES      YES      19      .403
00191    YES   YES    YES      YES      23      .654
00192    YES   YES    YES      YES      23      .934
00193    YES   YES    YES      YES      23      .742
00194    YES   YES    YES      YES      20      .692
00195    YES   YES    YES      YES      23      .766
00196    YES   YES    YES      YES      23      .957
00197    YES   YES    YES      YES      23      .735
00198    YES   YES    YES      YES      23      .734
00199    YES   YES    YES      YES      23      2.558
00200    YES   YES    YES      YES      21      .610
00201    YES   YES    YES      YES      23      .719
00202    YES   YES    YES      YES      23      .731
00203    YES   YES    YES      YES      23      .730
00204    YES   YES    YES      YES      23      .392
00205    YES   YES    YES      YES      24      .807
00206    YES   YES    YES      YES      21      .681
00207    YES   YES    YES      YES      23      .759
00208    YES   YES    YES      YES      23      .769
00209    YES   YES    YES      YES      23      .657
00210    YES   YES    YES      YES      23      .603
00211    YES   YES    YES      YES      24      .786
00212    YES   YES    YES      YES      21      .681
00213    YES   YES    YES      YES      23      .774
00214    YES   YES    YES      YES      23      .708
00215    YES   YES    YES      YES      23      .759
00216    YES   YES    YES      YES      23      .652
00217    YES   YES    YES      YES      24      .625
00218    YES   YES    YES      YES      21      .662
00219    YES   YES    YES      YES      23      .716
00220    YES   YES    YES      YES      23      .712
00221    YES   YES    YES      YES      23      .714
00222    YES   YES    YES      YES      23      .735
00223    YES   YES    YES      YES      23      .664
00224    YES   YES    YES      YES      21      .716
00225    YES   YES    YES      YES      23      .766
00226    YES   YES    YES      YES      23      .736
00227    YES   YES    YES      YES      23      .739
00228    YES   YES    YES      YES      24      .481
00229    YES   YES    YES      YES      23      4.809
00230    YES   YES    YES      YES      21      .873
00231    YES   YES    YES      YES      23      .739
00232    YES   YES    YES      YES      23      .736
00233    YES   YES    YES      YES      23      .392
00234    YES   YES    YES      YES      23      .731
00235    YES   YES    YES      YES      21      .608
00236    YES   YES    YES      YES      24      1.002
00237    YES   YES    YES      YES      19      .420
00238    YES   YES    YES      YES      23      .776
00239    YES   YES    YES      YES      23      .771
00240    YES   YES    YES      YES      23      .731
